H,N,F,S,Nickname,Mass,z,m/z,condition
3,2,0,0,H3N2F0S0,910.327765,1,911.335565,M+H
3,2,1,0,H3N2F1S0,1056.385665,1,1057.393465,M+H
4,2,0,0,H4N2F0S0,1072.380565,1,1073.388365,M+H
3,3,0,0,H3N3F0S0,1113.407165,1,1114.414965,M+H
3,2,0,1,H3N2F0S1,1201.423165,1,1202.430965,M+H
4,2,1,0,H4N2F1S0,1218.438465,1,1219.446265,M+H
5,2,0,0,H5N2F0S0,1234.433365,1,1235.441165,M+H
3,3,1,0,H3N3F1S0,1259.465065,1,1260.472865,M+H
4,3,0,0,H4N3F0S0,1275.459965,1,1276.467765,M+H
3,4,0,0,H3N4F0S0,1316.486565,1,1317.494365,M+H
3,2,1,1,H3N2F1S1,1347.481065,1,1348.488865,M+H
4,2,2,0,H4N2F2S0,1364.496365,1,1365.504165,M+H
5,2,1,0,H5N2F1S0,1380.491265,1,1381.499065,M+H
6,2,0,0,H6N2F0S0,1396.486165,1,1397.493965,M+H
3,3,0,1,H3N3F0S1,1404.502565,1,1405.510365,M+H
3,3,2,0,H3N3F2S0,1405.522965,1,1406.530765,M+H
4,3,1,0,H4N3F1S0,1421.517865,1,1422.525665,M+H
5,3,0,0,H5N3F0S0,1437.512765,1,1438.520565,M+H
3,4,1,0,H3N4F1S0,1462.544465,1,1463.552265,M+H
4,4,0,0,H4N4F0S0,1478.539365,1,1479.547165,M+H
4,2,1,1,H4N2F1S1,1509.533865,1,1510.541665,M+H
4,2,3,0,H4N2F3S0,1510.554265,1,1511.562065,M+H
3,5,0,0,H3N5F0S0,1519.565965,1,1520.573765,M+H
6,2,1,0,H6N2F1S0,1542.544065,1,1543.551865,M+H
3,3,1,1,H3N3F1S1,1550.560465,1,1551.568265,M+H
7,2,0,0,H7N2F0S0,1558.538965,1,1559.546765,M+H
4,3,0,1,H4N3F0S1,1566.555365,1,1567.563165,M+H
4,3,2,0,H4N3F2S0,1567.575765,1,1568.583565,M+H
5,3,1,0,H5N3F1S0,1583.570665,1,1584.578465,M+H
6,3,0,0,H6N3F0S0,1599.565565,1,1600.573365,M+H
3,4,2,0,H3N4F2S0,1608.602365,1,1609.610165,M+H
4,4,1,0,H4N4F1S0,1624.597265,1,1625.605065,M+H
5,4,0,0,H5N4F0S0,1640.592165,1,1641.599965,M+H
3,5,1,0,H3N5F1S0,1665.623865,1,1666.631665,M+H
4,5,0,0,H4N5F0S0,1681.618765,1,1682.626565,M+H
7,2,1,0,H7N2F1S0,1704.596865,1,1705.604665,M+H
4,3,1,1,H4N3F1S1,1712.613265,1,1713.621065,M+H
8,2,0,0,H8N2F0S0,1720.591765,1,1721.599565,M+H
5,3,0,1,H5N3F0S1,1728.608165,1,1729.615965,M+H
5,3,2,0,H5N3F2S0,1729.628565,1,1730.636365,M+H
6,3,1,0,H6N3F1S0,1745.623465,1,1746.631265,M+H
3,4,3,0,H3N4F3S0,1754.660265,1,1755.668065,M+H
4,4,0,1,H4N4F0S1,1769.634765,1,1770.642565,M+H
4,4,2,0,H4N4F2S0,1770.655165,1,1771.662965,M+H
5,4,1,0,H5N4F1S0,1786.650065,1,1787.657865,M+H
6,4,0,0,H6N4F0S0,1802.644965,1,1803.652765,M+H
3,5,2,0,H3N5F2S0,1811.681765,1,1812.689565,M+H
4,5,1,0,H4N5F1S0,1827.676665,1,1828.684465,M+H
5,5,0,0,H5N5F0S0,1843.671565,1,1844.679365,M+H
4,3,0,2,H4N3F0S2,1857.650765,1,1858.658565,M+H
4,3,2,1,H4N3F2S1,1858.671165,1,1859.678965,M+H
8,2,1,0,H8N2F1S0,1866.649665,1,1867.657465,M+H
3,6,1,0,H3N6F1S0,1868.703265,1,1869.711065,M+H
5,3,1,1,H5N3F1S1,1874.666065,1,1875.673865,M+H
9,2,0,0,H9N2F0S0,1882.644565,1,1883.652365,M+H
4,6,0,0,H4N6F0S0,1884.698165,1,1885.705965,M+H
6,3,0,1,H6N3F0S1,1890.660965,1,1891.668765,M+H
6,3,2,0,H6N3F2S0,1891.681365,1,1892.689165,M+H
4,4,1,1,H4N4F1S1,1915.692665,1,1916.700465,M+H
4,4,3,0,H4N4F3S0,1916.713065,1,1917.720865,M+H
3,7,0,0,H3N7F0S0,1925.724765,1,1926.732565,M+H
5,4,0,1,H5N4F0S1,1931.687565,1,1932.695365,M+H
5,4,2,0,H5N4F2S0,1932.707965,1,1933.715765,M+H
6,4,1,0,H6N4F1S0,1948.702865,1,1949.710665,M+H
3,5,3,0,H3N5F3S0,1957.739665,1,1958.747465,M+H
7,4,0,0,H7N4F0S0,1964.697765,1,1965.705565,M+H
4,5,0,1,H4N5F0S1,1972.714165,1,1973.721965,M+H
4,5,2,0,H4N5F2S0,1973.734565,1,1974.742365,M+H
